inspec_ym,inspec_loc,pH,water02,SS,water04,water05,DO,TP,대장균총,분원성대장균,수온,EC,water12,water13,water14,water15,water16,water17,water18,water19,TN,water21,water22,water23,water24,water25,water26,water27,area_CODE,area_NAME,river_CODE,river_NAME,loc_NAME,loc_ADDR,year,month,river_name,track,ecoli_label_raw,label_A,label_B
202108,208,7.2,8.3,2.7,4.0,7.9,1.2,0.343,1500000.0,210000.0,27.3,32542.0,0.0,,,,,,,1.49,0.02,2.286,2.575,0.238,0.295,,5.7,,2,중부산,3,동천,동천3,범일교,2021,8,동천,B,210000.0,1,1
202108,215,7.7,1.2,5.0,3.3,4.4,6.9,0.094,11000.0,1700.0,27.5,257.0,0.0,,,,,,,0.069,1.499,2.046,2.051,0.071,0.088,,3.4,,1,수영강,29,온천천,온천천1(태광산업),태광산업 앞,2021,8,온천천,A,1700.0,1,0
202108,216,7.4,2.4,6.2,3.6,9.4,3.9,0.184,37000.0,4300.0,26.9,2886.0,0.0,,,,,,,0.34,1.258,1.99,2.285,0.106,0.107,,42.8,,1,수영강,29,온천천,온천천2(연안교),연안교,2021,8,온천천,A,4300.0,1,0
202108,312,7.1,6.6,2.3,4.0,5.1,1.6,0.374,,,27.5,32567.0,0.0,,,,,,,1.596,0.062,2.52,2.845,0.256,0.294,,6.4,,2,중부산,3,동천,동천2-1,범3호교(성서교),2021,8,동천,B,,0,1
202108,327,7.7,1.5,5.7,3.3,45.9,7.3,0.087,,,28.0,223.0,0.0,,,,,,,0.015,1.237,1.785,1.837,0.038,0.047,,28.2,,1,수영강,29,온천천,온천천(청룡),청룡2호교,2021,8,온천천,A,,0,0
202108,328,7.8,1.0,4.9,3.0,4.4,7.1,0.142,,,26.9,264.0,0.0,,,,,,,0.013,1.595,1.917,2.144,0.081,0.085,,3.2,,1,수영강,29,온천천,온천천(온천),온천교,2021,8,온천천,A,,0,0
202108,329,7.7,1.4,5.9,3.2,7.9,6.1,0.165,,,26.8,293.0,0.0,,,,,,,0.145,1.701,2.181,2.34,0.113,0.121,,3.2,,1,수영강,29,온천천,온천천(세병),세병교,2021,8,온천천,A,,0,0
202109,206,7.2,4.8,6.9,3.6,2.5,4.3,0.688,180000.0,130000.0,22.8,3533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.566,1.345,6.432,6.668,0.592,0.622,0.0,0.0,0.0,2,중부산,3,동천,동천1,광무교,2021,9,동천,B,130000.0,1,0
202109,207,7.1,5.2,2.8,2.7,4.1,0.5,0.235,1300000.0,320000.0,23.7,36137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.425,0.314,1.911,2.519,0.143,0.163,0.0,0.3,0.0,2,중부산,3,동천,동천2,범4호교,2021,9,동천,B,320000.0,1,1
202109,208,7.1,6.9,3.7,3.0,7.5,1.1,0.278,2500000.0,990000.0,23.9,36431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65,0.029,1.794,2.795,0.16,0.174,0.0,0.2,0.0,2,중부산,3,동천,동천3,범일교,2021,9,동천,B,990000.0,1,1
